step,loss,learning_rate,epoch,elapsed_time
10,1.5194,,0.006357279084551812,0:02:00
20,1.4975,,0.012714558169103624,0:05:56
30,1.3997,,0.019071837253655435,0:11:33
40,1.2667,,0.02542911633820725,0:15:15
50,1.0245,,0.03178639542275906,0:17:49
60,0.7785,,0.03814367450731087,0:19:57
70,0.5407,,0.04450095359186268,0:22:03
80,0.4567,,0.0508582326764145,0:24:45
90,0.4034,,0.05721551176096631,0:27:24
100,0.3831,,0.06357279084551812,0:29:32
110,0.3316,,0.06993006993006994,0:31:34
120,0.3335,,0.07628734901462174,0:33:39
130,0.3124,,0.08264462809917356,0:35:42
140,0.3114,,0.08900190718372536,0:37:58
150,0.3012,,0.09535918626827718,0:39:57
160,0.2827,,0.101716465352829,0:41:39
170,0.2914,,0.1080737444373808,0:43:26
180,0.2601,,0.11443102352193261,0:45:07
190,0.2711,,0.12078830260648442,0:46:38
200,0.2837,,0.12714558169103624,0:48:13
210,0.2783,,0.13350286077558804,0:50:00
220,0.2734,,0.13986013986013987,0:52:05
230,0.2663,,0.14621741894469167,0:53:49
240,0.2792,,0.15257469802924348,0:55:39
250,0.2703,,0.1589319771137953,0:57:25
260,0.2708,,0.1652892561983471,0:59:06
270,0.2607,,0.17164653528289892,1:00:54
280,0.2756,,0.17800381436745072,1:02:39
290,0.2743,,0.18436109345200255,1:04:51
300,0.2652,,0.19071837253655435,1:06:48
310,0.2675,,0.19707565162110616,1:08:31
320,0.2785,,0.203432930705658,1:10:12
330,0.2648,,0.2097902097902098,1:11:44
340,0.2744,,0.2161474888747616,1:13:08
350,0.2625,,0.22250476795931343,1:14:30
360,0.2632,,0.22886204704386523,1:15:51
370,0.2529,,0.23521932612841703,1:17:14
380,0.2572,,0.24157660521296884,1:18:36
390,0.2518,,0.24793388429752067,1:19:57
400,0.2713,,0.25429116338207247,1:21:20
410,0.2589,,0.2606484424666243,1:22:44
420,0.2627,,0.2670057215511761,1:24:09
430,0.2822,,0.2733630006357279,1:25:35
440,0.2614,,0.27972027972027974,1:27:00
450,0.257,,0.28607755880483154,1:28:31
460,0.2636,,0.29243483788938335,1:30:04
470,0.2574,,0.29879211697393515,1:31:36
480,0.2554,,0.30514939605848695,1:33:08
490,0.259,,0.31150667514303876,1:34:39
500,0.2633,,0.3178639542275906,1:36:11
510,0.268,,0.3242212333121424,1:37:44
520,0.2673,,0.3305785123966942,1:39:16
530,0.2693,,0.336935791481246,1:40:49
540,0.2598,,0.34329307056579783,1:42:22
550,0.2636,,0.34965034965034963,1:43:58
560,0.2586,,0.35600762873490144,1:46:30
570,0.2671,,0.3623649078194533,1:52:51
580,0.2713,,0.3687221869040051,1:55:19
590,0.2694,,0.3750794659885569,1:57:58
600,0.2723,,0.3814367450731087,1:59:51
610,0.2617,,0.3877940241576605,2:01:41
620,0.2586,,0.3941513032422123,2:03:29
630,0.2592,,0.4005085823267641,2:05:12
640,0.2624,,0.406865861411316,2:07:50
650,0.2527,,0.4132231404958678,2:09:43
660,0.2535,,0.4195804195804196,2:11:33
670,0.261,,0.4259376986649714,2:13:59
680,0.2602,,0.4322949777495232,2:16:07
690,0.2471,,0.438652256834075,2:18:32
700,0.2685,,0.44500953591862685,2:20:24
710,0.2611,,0.45136681500317866,2:22:06
720,0.2716,,0.45772409408773046,2:23:51
730,0.2581,,0.46408137317228226,2:25:36
740,0.2538,,0.47043865225683407,2:27:17
750,0.2538,,0.47679593134138587,2:28:43
760,0.253,,0.4831532104259377,2:30:20
770,0.2598,,0.48951048951048953,2:32:00
780,0.2636,,0.49586776859504134,2:33:42
790,0.2556,,0.5022250476795931,2:35:23
800,0.2701,,0.5085823267641449,2:37:02
810,0.2693,,0.5149396058486968,2:38:32
820,0.2588,,0.5212968849332485,2:40:08
830,0.2709,,0.5276541640178004,2:41:50
840,0.2567,,0.5340114431023522,2:43:30
850,0.255,,0.540368722186904,2:45:12
860,0.2655,,0.5467260012714558,2:46:53
870,0.2538,,0.5530832803560076,2:48:32
880,0.262,,0.5594405594405595,2:50:17
890,0.2665,,0.5657978385251112,2:52:03
900,0.2567,,0.5721551176096631,2:53:48
910,0.2563,,0.5785123966942148,2:55:24
920,0.2561,,0.5848696757787667,2:57:05
930,0.2475,,0.5912269548633186,2:58:44
940,0.26,,0.5975842339478703,3:00:25
950,0.2478,,0.6039415130324222,3:02:12
960,0.2556,,0.6102987921169739,3:04:09
