Freq_Hz,Freq_GHz,S21_dB,S11_dB
10000000,0.0100,-0.0003,-42.3516
17995992,0.0180,-0.0008,-37.2565
25991984,0.0260,-0.0017,-34.0763
33987976,0.0340,-0.0029,-31.7645
41983968,0.0420,-0.0044,-29.9520
49979960,0.0500,-0.0062,-28.4652
57975952,0.0580,-0.0083,-27.2085
65971944,0.0660,-0.0106,-26.1233
73967936,0.0740,-0.0132,-25.1716
81963928,0.0820,-0.0161,-24.3268
89959920,0.0900,-0.0191,-23.5700
97955912,0.0980,-0.0224,-22.8870
105951904,0.1060,-0.0258,-22.2670
113947896,0.1139,-0.0295,-21.7015
121943888,0.1219,-0.0332,-21.1840
129939880,0.1299,-0.0370,-20.7090
137935872,0.1379,-0.0410,-20.2720
145931864,0.1459,-0.0450,-19.8694
153927856,0.1539,-0.0490,-19.4982
161923848,0.1619,-0.0531,-19.1558
169919840,0.1699,-0.0571,-18.8399
177915832,0.1779,-0.0611,-18.5488
185911824,0.1859,-0.0650,-18.2807
193907816,0.1939,-0.0688,-18.0344
201903808,0.2019,-0.0725,-17.8086
209899800,0.2099,-0.0761,-17.6024
217895792,0.2179,-0.0795,-17.4148
225891784,0.2259,-0.0827,-17.2450
233887776,0.2339,-0.0857,-17.0925
241883768,0.2419,-0.0884,-16.9566
249879760,0.2499,-0.0909,-16.8369
257875752,0.2579,-0.0931,-16.7330
265871743,0.2659,-0.0951,-16.6446
273867735,0.2739,-0.0967,-16.5715
281863727,0.2819,-0.0980,-16.5133
289859719,0.2899,-0.0990,-16.4702
297855711,0.2979,-0.0997,-16.4419
305851703,0.3059,-0.1000,-16.4285
313847695,0.3138,-0.0999,-16.4300
321843687,0.3218,-0.0996,-16.4467
329839679,0.3298,-0.0988,-16.4787
337835671,0.3378,-0.0977,-16.5261
345831663,0.3458,-0.0963,-16.5895
353827655,0.3538,-0.0945,-16.6691
361823647,0.3618,-0.0924,-16.7656
369819639,0.3698,-0.0900,-16.8793
377815631,0.3778,-0.0873,-17.0111
385811623,0.3858,-0.0843,-17.1617
393807615,0.3938,-0.0810,-17.3320
401803607,0.4018,-0.0775,-17.5231
409799599,0.4098,-0.0738,-17.7362
417795591,0.4178,-0.0698,-17.9727
425791583,0.4258,-0.0657,-18.2343
433787575,0.4338,-0.0615,-18.5228
441783567,0.4418,-0.0571,-18.8405
449779559,0.4498,-0.0527,-19.1900
457775551,0.4578,-0.0482,-19.5744
465771543,0.4658,-0.0437,-19.9975
473767535,0.4738,-0.0392,-20.4637
481763527,0.4818,-0.0348,-20.9784
489759519,0.4898,-0.0305,-21.5485
497755511,0.4978,-0.0264,-22.1823
505751503,0.5058,-0.0224,-22.8908
513747495,0.5137,-0.0186,-23.6881
521743487,0.5217,-0.0151,-24.5934
529739479,0.5297,-0.0119,-25.6329
537735471,0.5377,-0.0090,-26.8450
545731463,0.5457,-0.0064,-28.2878
553727455,0.5537,-0.0043,-30.0568
561723447,0.5617,-0.0025,-32.3247
569719439,0.5697,-0.0012,-35.4578
577715431,0.5777,-0.0004,-40.4914
585711423,0.5857,-0.0000,-54.1799
593707415,0.5937,-0.0001,-45.0363
601703407,0.6017,-0.0008,-37.5918
609699399,0.6097,-0.0019,-33.6337
617695391,0.6177,-0.0035,-30.9240
625691383,0.6257,-0.0056,-28.8659
633687375,0.6337,-0.0083,-27.2109
641683367,0.6417,-0.0114,-25.8315
649679359,0.6497,-0.0149,-24.6536
657675351,0.6577,-0.0189,-23.6303
665671343,0.6657,-0.0232,-22.7302
673667335,0.6737,-0.0279,-21.9311
681663327,0.6817,-0.0329,-21.2169
689659319,0.6897,-0.0382,-20.5756
697655311,0.6977,-0.0437,-19.9981
705651303,0.7057,-0.0493,-19.4771
713647295,0.7136,-0.0549,-19.0071
721643287,0.7216,-0.0606,-18.5838
729639279,0.7296,-0.0662,-18.2036
737635271,0.7376,-0.0716,-17.8637
745631263,0.7456,-0.0768,-17.5621
753627255,0.7536,-0.0817,-17.2972
761623246,0.7616,-0.0862,-17.0678
769619238,0.7696,-0.0901,-16.8733
777615230,0.7776,-0.0936,-16.7134
785611222,0.7856,-0.0963,-16.5881
793607214,0.7936,-0.0984,-16.4979
801603206,0.8016,-0.0996,-16.4439
809599198,0.8096,-0.1000,-16.4274
817595190,0.8176,-0.0995,-16.4504
825591182,0.8256,-0.0980,-16.5155
833587174,0.8336,-0.0955,-16.6260
841583166,0.8416,-0.0920,-16.7863
849579158,0.8496,-0.0875,-17.0019
857575150,0.8576,-0.0820,-17.2799
865571142,0.8656,-0.0756,-17.6297
873567134,0.8736,-0.0684,-18.0632
881563126,0.8816,-0.0604,-18.5970
889559118,0.8896,-0.0519,-19.2536
897555110,0.8976,-0.0430,-20.0651
905551102,0.9056,-0.0340,-21.0797
913547094,0.9135,-0.0252,-22.3734
921543086,0.9215,-0.0170,-24.0780
929539078,0.9295,-0.0098,-26.4518
937535070,0.9375,-0.0042,-30.1238
945531062,0.9455,-0.0008,-37.5412
953527054,0.9535,-0.0002,-44.1853
961523046,0.9615,-0.0032,-31.3064
969519038,0.9695,-0.0108,-26.0474
977515030,0.9775,-0.0239,-22.6031
