Freq_Hz,Freq_GHz,S21_dB,S11_dB
15000000,0.0150,-200.0000,0.0000
20981964,0.0210,-200.0000,-0.0000
26963928,0.0270,-200.0000,-0.0000
32945892,0.0329,-200.0000,0.0000
38927856,0.0389,-200.0000,-0.0000
44909820,0.0449,-200.0000,0.0000
50891784,0.0509,-200.0000,-0.0000
56873747,0.0569,-200.0000,-0.0000
62855711,0.0629,-200.0000,0.0000
68837675,0.0688,-200.0000,0.0000
74819639,0.0748,-200.0000,0.0000
80801603,0.0808,-200.0000,-0.0000
86783567,0.0868,-200.0000,0.0000
92765531,0.0928,-200.0000,0.0000
98747495,0.0987,-200.0000,-0.0000
104729459,0.1047,-200.0000,-0.0000
110711423,0.1107,-200.0000,0.0000
116693387,0.1167,-200.0000,0.0000
122675351,0.1227,-200.0000,0.0000
128657315,0.1287,-200.0000,-0.0000
134639279,0.1346,-200.0000,-0.0000
140621242,0.1406,-200.0000,0.0000
146603206,0.1466,-200.0000,-0.0000
152585170,0.1526,-200.0000,-0.0000
158567134,0.1586,-200.0000,0.0000
164549098,0.1645,-200.0000,0.0000
170531062,0.1705,-200.0000,0.0000
176513026,0.1765,-200.0000,0.0000
182494990,0.1825,-200.0000,-0.0000
188476954,0.1885,-200.0000,-0.0000
194458918,0.1945,-200.0000,-0.0000
200440882,0.2004,-200.0000,-0.0000
206422846,0.2064,-200.0000,0.0000
212404810,0.2124,-200.0000,-0.0000
218386774,0.2184,-200.0000,0.0000
224368737,0.2244,-200.0000,-0.0000
230350701,0.2304,-200.0000,0.0000
236332665,0.2363,-200.0000,0.0000
242314629,0.2423,-200.0000,0.0000
248296593,0.2483,-200.0000,0.0000
254278557,0.2543,-200.0000,-0.0000
260260521,0.2603,-200.0000,0.0000
266242485,0.2662,-200.0000,0.0000
272224449,0.2722,-200.0000,-0.0000
278206413,0.2782,-200.0000,-0.0000
284188377,0.2842,-200.0000,0.0000
290170341,0.2902,-200.0000,-0.0000
296152305,0.2962,-200.0000,0.0000
302134269,0.3021,-200.0000,0.0000
308116232,0.3081,-200.0000,-0.0000
314098196,0.3141,-200.0000,0.0000
320080160,0.3201,-200.0000,0.0000
326062124,0.3261,-200.0000,-0.0000
332044088,0.3320,-200.0000,-0.0000
338026052,0.3380,-200.0000,-0.0000
344008016,0.3440,-200.0000,0.0000
349989980,0.3500,-200.0000,0.0000
355971944,0.3560,-200.0000,-0.0000
361953908,0.3620,-200.0000,0.0000
367935872,0.3679,-200.0000,-0.0000
373917836,0.3739,-200.0000,0.0000
379899800,0.3799,-200.0000,0.0000
385881764,0.3859,-200.0000,0.0000
391863727,0.3919,-200.0000,0.0000
397845691,0.3978,-200.0000,0.0000
403827655,0.4038,-200.0000,0.0000
409809619,0.4098,-200.0000,0.0000
415791583,0.4158,-200.0000,-0.0000
421773547,0.4218,-200.0000,0.0000
427755511,0.4278,-200.0000,0.0000
433737475,0.4337,-200.0000,-0.0000
439719439,0.4397,-200.0000,0.0000
445701403,0.4457,-200.0000,0.0000
451683367,0.4517,-200.0000,0.0000
457665331,0.4577,-200.0000,-0.0000
463647295,0.4636,-200.0000,-0.0000
469629259,0.4696,-200.0000,0.0000
475611222,0.4756,-200.0000,-0.0000
481593186,0.4816,-200.0000,-0.0000
487575150,0.4876,-200.0000,-0.0000
493557114,0.4936,-200.0000,-0.0000
499539078,0.4995,-200.0000,-0.0000
505521042,0.5055,-200.0000,-0.0000
511503006,0.5115,-200.0000,-0.0000
517484970,0.5175,-199.2659,0.0000
523466934,0.5235,-198.3745,0.0000
529448898,0.5294,-197.4883,-0.0000
