Freq_Hz,Freq_GHz,S21_dB,S11_dB
918276553,0.9183,-69.7830,-0.0000
924258517,0.9243,-69.2828,-0.0000
930240481,0.9302,-68.7799,-0.0000
936222445,0.9362,-68.2744,-0.0000
942204409,0.9422,-67.7661,-0.0000
948186373,0.9482,-67.2550,-0.0000
954168337,0.9542,-66.7409,-0.0000
960150301,0.9602,-66.2238,-0.0000
966132265,0.9661,-65.7034,-0.0000
972114228,0.9721,-65.1797,-0.0000
978096192,0.9781,-64.6527,-0.0000
984078156,0.9841,-64.1220,-0.0000
990060120,0.9901,-63.5878,-0.0000
996042084,0.9960,-63.0497,-0.0000
1002024048,1.0020,-62.5077,-0.0000
1008006012,1.0080,-61.9616,-0.0000
1013987976,1.0140,-61.4113,-0.0000
1019969940,1.0200,-60.8566,-0.0000
1025951904,1.0260,-60.2975,-0.0000
1031933868,1.0319,-59.7337,-0.0000
1037915832,1.0379,-59.1651,-0.0000
1043897796,1.0439,-58.5915,-0.0000
1049879760,1.0499,-58.0127,-0.0000
1055861723,1.0559,-57.4286,-0.0000
1061843687,1.0618,-56.8389,-0.0000
1067825651,1.0678,-56.2435,-0.0000
1073807615,1.0738,-55.6423,-0.0000
1079789579,1.0798,-55.0348,-0.0000
1085771543,1.0858,-54.4210,-0.0000
1091753507,1.0918,-53.8007,-0.0000
1097735471,1.0977,-53.1735,-0.0000
1103717435,1.1037,-52.5393,-0.0000
1109699399,1.1097,-51.8977,-0.0000
1115681363,1.1157,-51.2485,-0.0000
1121663327,1.1217,-50.5915,-0.0000
1127645291,1.1276,-49.9263,-0.0000
1133627255,1.1336,-49.2526,-0.0001
1139609218,1.1396,-48.5700,-0.0001
1145591182,1.1456,-47.8783,-0.0001
1151573146,1.1516,-47.1771,-0.0001
1157555110,1.1576,-46.4659,-0.0001
1163537074,1.1635,-45.7445,-0.0001
1169519038,1.1695,-45.0123,-0.0001
1175501002,1.1755,-44.2689,-0.0002
1181482966,1.1815,-43.5139,-0.0002
1187464930,1.1875,-42.7466,-0.0002
1193446894,1.1934,-41.9667,-0.0003
1199428858,1.1994,-41.1735,-0.0003
1205410822,1.2054,-40.3664,-0.0004
1211392786,1.2114,-39.5447,-0.0005
1217374749,1.2174,-38.7078,-0.0006
1223356713,1.2234,-37.8550,-0.0007
1229338677,1.2293,-36.9854,-0.0009
1235320641,1.2353,-36.0981,-0.0011
1241302605,1.2413,-35.1923,-0.0013
1247284569,1.2473,-34.2670,-0.0016
1253266533,1.2533,-33.3211,-0.0020
1259248497,1.2592,-32.3535,-0.0025
1265230461,1.2652,-31.3628,-0.0032
1271212425,1.2712,-30.3478,-0.0040
1277194389,1.2772,-29.3069,-0.0051
1283176353,1.2832,-28.2386,-0.0065
1289158317,1.2892,-27.1411,-0.0084
1295140281,1.2951,-26.0124,-0.0109
1301122244,1.3011,-24.8505,-0.0142
1307104208,1.3071,-23.6531,-0.0188
1313086172,1.3131,-22.4176,-0.0250
1319068136,1.3191,-21.1415,-0.0335
1325050100,1.3251,-19.8220,-0.0455
1331032064,1.3310,-18.4561,-0.0624
1337014028,1.3370,-17.0410,-0.0867
1342995992,1.3430,-15.5742,-0.1220
1348977956,1.3490,-14.0541,-0.1742
1354959920,1.3550,-12.4811,-0.2525
1360941884,1.3609,-10.8589,-0.3718
1366923848,1.3669,-9.1977,-0.5566
1372905812,1.3729,-7.5186,-0.8464
1378887776,1.3789,-5.8600,-1.3043
1384869739,1.3849,-4.2837,-2.0268
1390851703,1.3909,-2.8748,-3.1501
1396833667,1.3968,-1.7242,-4.8456
1402815631,1.4028,-0.8922,-7.3119
1408797595,1.4088,-0.3754,-10.8196
1414779559,1.4148,-0.1109,-15.9841
1420761523,1.4208,-0.0122,-25.5142
1426743487,1.4267,-0.0034,-31.1148
1432725451,1.4327,-0.0323,-21.2956
1438707415,1.4387,-0.0695,-17.9955
1444689379,1.4447,-0.1005,-16.4049
1450671343,1.4507,-0.1208,-15.6183
1456653307,1.4567,-0.1303,-15.2930
1462635271,1.4626,-0.1315,-15.2547
1468617234,1.4686,-0.1272,-15.3949
1474599198,1.4746,-0.1203,-15.6342
1480581162,1.4806,-0.1129,-15.9070
1486563126,1.4866,-0.1065,-16.1576
1492545090,1.4925,-0.1021,-16.3405
1498527054,1.4985,-0.1001,-16.4243
1504509018,1.5045,-0.1008,-16.3956
1510490982,1.5105,-0.1040,-16.2607
1516472946,1.5165,-0.1094,-16.0438
1522454910,1.5225,-0.1162,-15.7833
1528436874,1.5284,-0.1234,-15.5263
1534418838,1.5344,-0.1293,-15.3263
1540400802,1.5404,-0.1318,-15.2430
1546382766,1.5464,-0.1286,-15.3481
1552364729,1.5524,-0.1174,-15.7388
1558346693,1.5583,-0.0967,-16.5705
1564328657,1.5643,-0.0671,-18.1427
1570310621,1.5703,-0.0330,-21.2050
1576292585,1.5763,-0.0054,-29.0575
1582274549,1.5823,-0.0051,-29.3170
1588256513,1.5883,-0.0663,-18.1983
1594238477,1.5942,-0.2374,-12.7404
1600220441,1.6002,-0.5760,-9.0582
1606202405,1.6062,-1.1331,-6.3894
1612184369,1.6122,-1.9327,-4.4468
1618166333,1.6182,-2.9595,-3.0617
1624148297,1.6241,-4.1653,-2.0988
1630130261,1.6301,-5.4890,-1.4421
1636112224,1.6361,-6.8741,-0.9985
1642094188,1.6421,-8.2779,-0.6990
1648076152,1.6481,-9.6716,-0.4957
1654058116,1.6541,-11.0376,-0.3562
1660040080,1.6600,-12.3663,-0.2595
1666022044,1.6660,-13.6530,-0.1914
1672004008,1.6720,-14.8961,-0.1430
1677985972,1.6780,-16.0958,-0.1080
1683967936,1.6840,-17.2533,-0.0825
1689949900,1.6899,-18.3704,-0.0637
1695931864,1.6959,-19.4490,-0.0496
1701913828,1.7019,-20.4914,-0.0390
1707895792,1.7079,-21.4994,-0.0309
1713877756,1.7139,-22.4750,-0.0246
1719859719,1.7199,-23.4202,-0.0198
1725841683,1.7258,-24.3367,-0.0160
1731823647,1.7318,-25.2260,-0.0131
1737805611,1.7378,-26.0897,-0.0107
1743787575,1.7438,-26.9291,-0.0088
1749769539,1.7498,-27.7456,-0.0073
1755751503,1.7558,-28.5404,-0.0061
1761733467,1.7617,-29.3146,-0.0051
1767715431,1.7677,-30.0691,-0.0043
1773697395,1.7737,-30.8050,-0.0036
1779679359,1.7797,-31.5230,-0.0031
1785661323,1.7857,-32.2242,-0.0026
1791643287,1.7916,-32.9091,-0.0022
1797625251,1.7976,-33.5786,-0.0019
1803607214,1.8036,-34.2333,-0.0016
1809589178,1.8096,-34.8739,-0.0014
1815571142,1.8156,-35.5008,-0.0012
1821553106,1.8216,-36.1147,-0.0011
1827535070,1.8275,-36.7162,-0.0009
1833517034,1.8335,-37.3056,-0.0008
1839498998,1.8395,-37.8834,-0.0007
1845480962,1.8455,-38.4501,-0.0006
1851462926,1.8515,-39.0061,-0.0005
1857444890,1.8574,-39.5518,-0.0005
1863426854,1.8634,-40.0876,-0.0004
1869408818,1.8694,-40.6137,-0.0004
1875390782,1.8754,-41.1305,-0.0003
1881372745,1.8814,-41.6384,-0.0003
1887354709,1.8874,-42.1376,-0.0003
1893336673,1.8933,-42.6284,-0.0002
1899318637,1.8993,-43.1111,-0.0002
1905300601,1.9053,-43.5859,-0.0002
1911282565,1.9113,-44.0532,-0.0002
1917264529,1.9173,-44.5130,-0.0002
1923246493,1.9232,-44.9657,-0.0001
1929228457,1.9292,-45.4114,-0.0001
1935210421,1.9352,-45.8504,-0.0001
1941192385,1.9412,-46.2829,-0.0001
1947174349,1.9472,-46.7090,-0.0001
1953156313,1.9532,-47.1289,-0.0001
1959138277,1.9591,-47.5428,-0.0001
1965120240,1.9651,-47.9508,-0.0001
1971102204,1.9711,-48.3532,-0.0001
1977084168,1.9771,-48.7500,-0.0001
1983066132,1.9831,-49.1414,-0.0001
1989048096,1.9890,-49.5276,-0.0000
1995030060,1.9950,-49.9087,-0.0000
2001012024,2.0010,-50.2847,-0.0000
2006993988,2.0070,-50.6560,-0.0000
2012975952,2.0130,-51.0224,-0.0000
2018957916,2.0190,-51.3843,-0.0000
2024939880,2.0249,-51.7416,-0.0000
2030921844,2.0309,-52.0946,-0.0000
2036903808,2.0369,-52.4432,-0.0000
2042885772,2.0429,-52.7876,-0.0000
2048867735,2.0489,-53.1279,-0.0000
2054849699,2.0548,-53.4643,-0.0000
2060831663,2.0608,-53.7967,-0.0000
2066813627,2.0668,-54.1252,-0.0000
2072795591,2.0728,-54.4500,-0.0000
2078777555,2.0788,-54.7712,-0.0000
2084759519,2.0848,-55.0887,-0.0000
2090741483,2.0907,-55.4028,-0.0000
2096723447,2.0967,-55.7134,-0.0000
2102705411,2.1027,-56.0207,-0.0000
2108687375,2.1087,-56.3246,-0.0000
2114669339,2.1147,-56.6254,-0.0000
2120651303,2.1207,-56.9229,-0.0000
2126633267,2.1266,-57.2174,-0.0000
2132615230,2.1326,-57.5089,-0.0000
2138597194,2.1386,-57.7973,-0.0000
2144579158,2.1446,-58.0829,-0.0000
2150561122,2.1506,-58.3656,-0.0000
2156543086,2.1565,-58.6455,-0.0000
2162525050,2.1625,-58.9226,-0.0000
2168507014,2.1685,-59.1971,-0.0000
2174488978,2.1745,-59.4689,-0.0000
2180470942,2.1805,-59.7381,-0.0000
2186452906,2.1865,-60.0048,-0.0000
2192434870,2.1924,-60.2689,-0.0000
2198416834,2.1984,-60.5306,-0.0000
2204398798,2.2044,-60.7899,-0.0000
2210380762,2.2104,-61.0468,-0.0000
2216362725,2.2164,-61.3014,-0.0000
2222344689,2.2223,-61.5537,-0.0000
2228326653,2.2283,-61.8038,-0.0000
2234308617,2.2343,-62.0516,-0.0000
2240290581,2.2403,-62.2973,-0.0000
2246272545,2.2463,-62.5408,-0.0000
2252254509,2.2523,-62.7822,-0.0000
2258236473,2.2582,-63.0216,-0.0000
2264218437,2.2642,-63.2590,-0.0000
2270200401,2.2702,-63.4943,-0.0000
2276182365,2.2762,-63.7277,-0.0000
2282164329,2.2822,-63.9592,-0.0000
2288146293,2.2881,-64.1887,-0.0000
2294128257,2.2941,-64.4164,-0.0000
2300110220,2.3001,-64.6422,-0.0000
2306092184,2.3061,-64.8663,-0.0000
2312074148,2.3121,-65.0885,-0.0000
2318056112,2.3181,-65.3090,-0.0000
2324038076,2.3240,-65.5278,-0.0000
2330020040,2.3300,-65.7449,-0.0000
2336002004,2.3360,-65.9603,-0.0000
2341983968,2.3420,-66.1740,-0.0000
2347965932,2.3480,-66.3861,-0.0000
2353947896,2.3539,-66.5966,-0.0000
2359929860,2.3599,-66.8056,-0.0000
2365911824,2.3659,-67.0129,-0.0000
2371893788,2.3719,-67.2188,-0.0000
2377875752,2.3779,-67.4231,-0.0000
2383857715,2.3839,-67.6260,-0.0000
2389839679,2.3898,-67.8273,-0.0000
2395821643,2.3958,-68.0273,-0.0000
2401803607,2.4018,-68.2258,-0.0000
2407785571,2.4078,-68.4229,-0.0000
2413767535,2.4138,-68.6186,-0.0000
2419749499,2.4197,-68.8129,-0.0000
2425731463,2.4257,-69.0059,-0.0000
2431713427,2.4317,-69.1976,-0.0000
2437695391,2.4377,-69.3880,-0.0000
2443677355,2.4437,-69.5770,-0.0000
2449659319,2.4497,-69.7648,-0.0000
2455641283,2.4556,-69.9513,-0.0000
2461623246,2.4616,-70.1366,-0.0000
2467605210,2.4676,-70.3207,-0.0000
2473587174,2.4736,-70.5035,-0.0000
2479569138,2.4796,-70.6852,-0.0000
2485551102,2.4856,-70.8656,-0.0000
2491533066,2.4915,-71.0449,-0.0000
2497515030,2.4975,-71.2231,-0.0000
2503496994,2.5035,-71.4001,-0.0000
2509478958,2.5095,-71.5760,-0.0000
2515460922,2.5155,-71.7508,-0.0000
2521442886,2.5214,-71.9245,-0.0000
2527424850,2.5274,-72.0971,-0.0000
2533406814,2.5334,-72.2686,-0.0000
2539388778,2.5394,-72.4391,-0.0000
2545370741,2.5454,-72.6086,-0.0000
2551352705,2.5514,-72.7770,-0.0000
2557334669,2.5573,-72.9444,-0.0000
2563316633,2.5633,-73.1108,-0.0000
2569298597,2.5693,-73.2762,-0.0000
2575280561,2.5753,-73.4406,-0.0000
2581262525,2.5813,-73.6041,-0.0000
2587244489,2.5872,-73.7666,-0.0000
2593226453,2.5932,-73.9282,-0.0000
2599208417,2.5992,-74.0888,-0.0000
2605190381,2.6052,-74.2485,-0.0000
2611172345,2.6112,-74.4073,-0.0000
2617154309,2.6172,-74.5652,-0.0000
2623136273,2.6231,-74.7222,-0.0000
2629118236,2.6291,-74.8783,-0.0000
2635100200,2.6351,-75.0335,-0.0000
2641082164,2.6411,-75.1879,-0.0000
2647064128,2.6471,-75.3414,-0.0000
2653046092,2.6530,-75.4941,-0.0000
2659028056,2.6590,-75.6459,-0.0000
2665010020,2.6650,-75.7970,-0.0000
2670991984,2.6710,-75.9471,-0.0000
2676973948,2.6770,-76.0965,-0.0000
2682955912,2.6830,-76.2451,-0.0000
2688937876,2.6889,-76.3929,-0.0000
2694919840,2.6949,-76.5399,-0.0000
2700901804,2.7009,-76.6862,-0.0000
2706883768,2.7069,-76.8317,-0.0000
2712865731,2.7129,-76.9764,-0.0000
2718847695,2.7188,-77.1204,-0.0000
2724829659,2.7248,-77.2636,-0.0000
2730811623,2.7308,-77.4061,-0.0000
2736793587,2.7368,-77.5479,-0.0000
2742775551,2.7428,-77.6889,-0.0000
2748757515,2.7488,-77.8292,-0.0000
