Freq_Hz,Freq_GHz,S21_N3_dB,S21_N4_dB,S21_N5_dB,S21_N6_dB
1643543544,1.6435,-6.8424,-15.1661,-24.6180,-33.4975
1647537538,1.6475,-6.9055,-15.2557,-24.7502,-33.6453
1651531532,1.6515,-6.9686,-15.3451,-24.8820,-33.7925
1655525526,1.6555,-7.0317,-15.4342,-25.0133,-33.9393
1659519520,1.6595,-7.0948,-15.5232,-25.1441,-34.0855
1663513514,1.6635,-7.1578,-15.6119,-25.2744,-34.2312
1667507508,1.6675,-7.2209,-15.7004,-25.4043,-34.3765
1671501502,1.6715,-7.2839,-15.7887,-25.5337,-34.5212
1675495495,1.6755,-7.3469,-15.8768,-25.6626,-34.6655
1679489489,1.6795,-7.4098,-15.9647,-25.7910,-34.8093
1683483483,1.6835,-7.4728,-16.0524,-25.9190,-34.9526
1687477477,1.6875,-7.5357,-16.1399,-26.0465,-35.0954
1691471471,1.6915,-7.5986,-16.2271,-26.1736,-35.2377
1695465465,1.6955,-7.6615,-16.3141,-26.3002,-35.3796
1699459459,1.6995,-7.7243,-16.4010,-26.4263,-35.5210
1703453453,1.7035,-7.7871,-16.4876,-26.5521,-35.6620
1707447447,1.7074,-7.8498,-16.5740,-26.6773,-35.8025
1711441441,1.7114,-7.9125,-16.6602,-26.8022,-35.9426
1715435435,1.7154,-7.9751,-16.7462,-26.9266,-36.0822
1719429429,1.7194,-8.0378,-16.8319,-27.0506,-36.2213
1723423423,1.7234,-8.1003,-16.9175,-27.1741,-36.3600
1727417417,1.7274,-8.1628,-17.0029,-27.2972,-36.4983
1731411411,1.7314,-8.2253,-17.0880,-27.4199,-36.6361
1735405405,1.7354,-8.2877,-17.1730,-27.5422,-36.7735
1739399399,1.7394,-8.3500,-17.2577,-27.6641,-36.9105
1743393393,1.7434,-8.4123,-17.3423,-27.7856,-37.0471
1747387387,1.7474,-8.4745,-17.4266,-27.9066,-37.1832
1751381381,1.7514,-8.5367,-17.5108,-28.0273,-37.3189
1755375375,1.7554,-8.5987,-17.5947,-28.1475,-37.4542
1759369369,1.7594,-8.6608,-17.6784,-28.2674,-37.5891
1763363363,1.7634,-8.7227,-17.7619,-28.3868,-37.7235
1767357357,1.7674,-8.7846,-17.8453,-28.5059,-37.8576
1771351351,1.7714,-8.8465,-17.9284,-28.6245,-37.9912
1775345345,1.7753,-8.9082,-18.0113,-28.7428,-38.1245
1779339339,1.7793,-8.9699,-18.0941,-28.8607,-38.2573
1783333333,1.7833,-9.0315,-18.1766,-28.9782,-38.3898
1787327327,1.7873,-9.0930,-18.2590,-29.0954,-38.5218
1791321321,1.7913,-9.1545,-18.3411,-29.2121,-38.6535
1795315315,1.7953,-9.2159,-18.4230,-29.3285,-38.7848
1799309309,1.7993,-9.2772,-18.5048,-29.4445,-38.9157
1803303303,1.8033,-9.3384,-18.5864,-29.5601,-39.0462
1807297297,1.8073,-9.3995,-18.6677,-29.6754,-39.1763
1811291291,1.8113,-9.4606,-18.7489,-29.7903,-39.3061
1815285285,1.8153,-9.5216,-18.8299,-29.9049,-39.4354
1819279279,1.8193,-9.5825,-18.9107,-30.0191,-39.5644
1823273273,1.8233,-9.6433,-18.9913,-30.1329,-39.6931
1827267267,1.8273,-9.7040,-19.0717,-30.2464,-39.8213
1831261261,1.8313,-9.7646,-19.1519,-30.3595,-39.9492
1835255255,1.8353,-9.8252,-19.2319,-30.4723,-40.0767
1839249249,1.8392,-9.8857,-19.3118,-30.5848,-40.2039
1843243243,1.8432,-9.9460,-19.3914,-30.6969,-40.3307
1847237237,1.8472,-10.0063,-19.4709,-30.8086,-40.4572
1851231231,1.8512,-10.0665,-19.5502,-30.9201,-40.5833
1855225225,1.8552,-10.1266,-19.6293,-31.0311,-40.7090
1859219219,1.8592,-10.1866,-19.7082,-31.1419,-40.8345
1863213213,1.8632,-10.2465,-19.7869,-31.2523,-40.9595
1867207207,1.8672,-10.3064,-19.8655,-31.3624,-41.0842
1871201201,1.8712,-10.3661,-19.9439,-31.4721,-41.2086
1875195195,1.8752,-10.4257,-20.0220,-31.5816,-41.3326
1879189189,1.8792,-10.4853,-20.1001,-31.6907,-41.4563
1883183183,1.8832,-10.5447,-20.1779,-31.7995,-41.5797
1887177177,1.8872,-10.6041,-20.2555,-31.9079,-41.7027
1891171171,1.8912,-10.6633,-20.3330,-32.0161,-41.8254
1895165165,1.8952,-10.7225,-20.4103,-32.1239,-41.9477
1899159159,1.8992,-10.7816,-20.4874,-32.2314,-42.0698
1903153153,1.9032,-10.8405,-20.5644,-32.3387,-42.1915
1907147147,1.9071,-10.8994,-20.6411,-32.4456,-42.3129
1911141141,1.9111,-10.9582,-20.7177,-32.5522,-42.4339
1915135135,1.9151,-11.0168,-20.7941,-32.6584,-42.5547
1919129129,1.9191,-11.0754,-20.8704,-32.7644,-42.6751
1923123123,1.9231,-11.1339,-20.9464,-32.8701,-42.7952
1927117117,1.9271,-11.1922,-21.0223,-32.9755,-42.9150
1931111111,1.9311,-11.2505,-21.0981,-33.0806,-43.0345
1935105105,1.9351,-11.3087,-21.1736,-33.1854,-43.1536
1939099099,1.9391,-11.3667,-21.2490,-33.2899,-43.2725
1943093093,1.9431,-11.4247,-21.3242,-33.3941,-43.3910
1947087087,1.9471,-11.4826,-21.3993,-33.4980,-43.5093
1951081081,1.9511,-11.5403,-21.4742,-33.6017,-43.6272
1955075075,1.9551,-11.5980,-21.5489,-33.7050,-43.7449
1959069069,1.9591,-11.6556,-21.6235,-33.8081,-43.8622
1963063063,1.9631,-11.7130,-21.6978,-33.9109,-43.9793
1967057057,1.9671,-11.7704,-21.7721,-34.0134,-44.0960
1971051051,1.9711,-11.8276,-21.8461,-34.1156,-44.2125
1975045045,1.9750,-11.8848,-21.9200,-34.2175,-44.3286
1979039039,1.9790,-11.9418,-21.9938,-34.3192,-44.4445
1983033033,1.9830,-11.9988,-22.0673,-34.4206,-44.5601
1987027027,1.9870,-12.0556,-22.1407,-34.5217,-44.6754
1991021021,1.9910,-12.1124,-22.2140,-34.6226,-44.7904
1995015015,1.9950,-12.1690,-22.2871,-34.7231,-44.9051
1999009009,1.9990,-12.2255,-22.3600,-34.8234,-45.0196
2003003003,2.0030,-12.2820,-22.4328,-34.9235,-45.1337
2006996997,2.0070,-12.3383,-22.5054,-35.0233,-45.2476
2010990991,2.0110,-12.3945,-22.5778,-35.1228,-45.3612
2014984985,2.0150,-12.4506,-22.6501,-35.2220,-45.4745
2018978979,2.0190,-12.5067,-22.7223,-35.3210,-45.5876
2022972973,2.0230,-12.5626,-22.7943,-35.4198,-45.7003
2026966967,2.0270,-12.6184,-22.8661,-35.5183,-45.8128
2030960961,2.0310,-12.6741,-22.9378,-35.6165,-45.9251
2034954955,2.0350,-12.7297,-23.0093,-35.7145,-46.0370
2038948949,2.0389,-12.7852,-23.0807,-35.8122,-46.1487
2042942943,2.0429,-12.8406,-23.1519,-35.9096,-46.2602
2046936937,2.0469,-12.8959,-23.2230,-36.0069,-46.3713
2050930931,2.0509,-12.9511,-23.2939,-36.1038,-46.4822
2054924925,2.0549,-13.0062,-23.3646,-36.2006,-46.5929
2058918919,2.0589,-13.0612,-23.4353,-36.2970,-46.7032
2062912913,2.0629,-13.1161,-23.5057,-36.3933,-46.8134
2066906907,2.0669,-13.1708,-23.5760,-36.4893,-46.9232
2070900901,2.0709,-13.2255,-23.6462,-36.5850,-47.0328
2074894895,2.0749,-13.2801,-23.7162,-36.6805,-47.1422
2078888889,2.0789,-13.3346,-23.7861,-36.7758,-47.2513
2082882883,2.0829,-13.3889,-23.8559,-36.8708,-47.3601
2086876877,2.0869,-13.4432,-23.9254,-36.9656,-47.4687
2090870871,2.0909,-13.4974,-23.9949,-37.0602,-47.5770
2094864865,2.0949,-13.5514,-24.0642,-37.1545,-47.6851
2098858859,2.0989,-13.6054,-24.1333,-37.2486,-47.7929
2102852853,2.1029,-13.6593,-24.2023,-37.3425,-47.9005
2106846847,2.1068,-13.7130,-24.2712,-37.4361,-48.0079
2110840841,2.1108,-13.7667,-24.3399,-37.5295,-48.1150
2114834835,2.1148,-13.8202,-24.4085,-37.6227,-48.2219
2118828829,2.1188,-13.8737,-24.4770,-37.7156,-48.3285
2122822823,2.1228,-13.9270,-24.5453,-37.8084,-48.4349
2126816817,2.1268,-13.9803,-24.6134,-37.9009,-48.5410
2130810811,2.1308,-14.0334,-24.6815,-37.9932,-48.6469
2134804805,2.1348,-14.0865,-24.7493,-38.0852,-48.7526
2138798799,2.1388,-14.1394,-24.8171,-38.1771,-48.8580
2142792793,2.1428,-14.1923,-24.8847,-38.2687,-48.9632
2146786787,2.1468,-14.2451,-24.9522,-38.3601,-49.0682
2150780781,2.1508,-14.2977,-25.0195,-38.4513,-49.1729
2154774775,2.1548,-14.3503,-25.0867,-38.5422,-49.2774
2158768769,2.1588,-14.4027,-25.1538,-38.6330,-49.3817
2162762763,2.1628,-14.4551,-25.2207,-38.7235,-49.4857
2166756757,2.1668,-14.5073,-25.2875,-38.8139,-49.5895
2170750751,2.1708,-14.5595,-25.3542,-38.9040,-49.6931
2174744745,2.1747,-14.6115,-25.4207,-38.9939,-49.7965
2178738739,2.1787,-14.6635,-25.4871,-39.0836,-49.8996
2182732733,2.1827,-14.7153,-25.5534,-39.1731,-50.0026
2186726727,2.1867,-14.7671,-25.6195,-39.2624,-50.1052
2190720721,2.1907,-14.8188,-25.6855,-39.3515,-50.2077
2194714715,2.1947,-14.8703,-25.7514,-39.4404,-50.3100
2198708709,2.1987,-14.9218,-25.8172,-39.5290,-50.4120
2202702703,2.2027,-14.9732,-25.8828,-39.6175,-50.5138
2206696697,2.2067,-15.0244,-25.9483,-39.7058,-50.6154
2210690691,2.2107,-15.0756,-26.0136,-39.7938,-50.7168
2214684685,2.2147,-15.1267,-26.0789,-39.8817,-50.8180
2218678679,2.2187,-15.1777,-26.1440,-39.9694,-50.9189
2222672673,2.2227,-15.2286,-26.2089,-40.0569,-51.0197
2226666667,2.2267,-15.2793,-26.2738,-40.1441,-51.1202
2230660661,2.2307,-15.3300,-26.3385,-40.2312,-51.2205
2234654655,2.2347,-15.3806,-26.4031,-40.3181,-51.3206
2238648649,2.2386,-15.4311,-26.4676,-40.4048,-51.4205
2242642643,2.2426,-15.4816,-26.5320,-40.4913,-51.5202
2246636637,2.2466,-15.5319,-26.5962,-40.5776,-51.6197
2250630631,2.2506,-15.5821,-26.6603,-40.6637,-51.7190
2254624625,2.2546,-15.6322,-26.7243,-40.7496,-51.8181
2258618619,2.2586,-15.6822,-26.7881,-40.8354,-51.9169
2262612613,2.2626,-15.7322,-26.8519,-40.9209,-52.0156
2266606607,2.2666,-15.7820,-26.9155,-41.0063,-52.1141
2270600601,2.2706,-15.8318,-26.9790,-41.0915,-52.2123
2274594595,2.2746,-15.8814,-27.0424,-41.1765,-52.3104
2278588589,2.2786,-15.9310,-27.1056,-41.2613,-52.4082
2282582583,2.2826,-15.9805,-27.1687,-41.3459,-52.5059
2286576577,2.2866,-16.0299,-27.2318,-41.4303,-52.6034
2290570571,2.2906,-16.0791,-27.2947,-41.5146,-52.7006
2294564565,2.2946,-16.1283,-27.3574,-41.5987,-52.7977
2298558559,2.2986,-16.1774,-27.4201,-41.6825,-52.8946
2302552553,2.3026,-16.2265,-27.4826,-41.7663,-52.9913
2306546547,2.3065,-16.2754,-27.5451,-41.8498,-53.0878
2310540541,2.3105,-16.3242,-27.6074,-41.9332,-53.1841
2314534535,2.3145,-16.3730,-27.6696,-42.0163,-53.2802
2318528529,2.3185,-16.4216,-27.7317,-42.0993,-53.3761
2322522523,2.3225,-16.4702,-27.7936,-42.1822,-53.4718
2326516517,2.3265,-16.5186,-27.8555,-42.2648,-53.5673
2330510511,2.3305,-16.5670,-27.9172,-42.3473,-53.6627
2334504505,2.3345,-16.6153,-27.9788,-42.4296,-53.7578
2338498498,2.3385,-16.6635,-28.0403,-42.5118,-53.8528
2342492492,2.3425,-16.7116,-28.1017,-42.5937,-53.9476
2346486486,2.3465,-16.7597,-28.1630,-42.6755,-54.0422
2350480480,2.3505,-16.8076,-28.2242,-42.7571,-54.1366
2354474474,2.3545,-16.8555,-28.2852,-42.8386,-54.2308
2358468468,2.3585,-16.9032,-28.3462,-42.9199,-54.3248
2362462462,2.3625,-16.9509,-28.4070,-43.0010,-54.4187
2366456456,2.3665,-16.9985,-28.4678,-43.0820,-54.5124
2370450450,2.3705,-17.0460,-28.5284,-43.1627,-54.6059
2374444444,2.3744,-17.0934,-28.5889,-43.2434,-54.6992
2378438438,2.3784,-17.1407,-28.6493,-43.3238,-54.7923
2382432432,2.3824,-17.1880,-28.7096,-43.4041,-54.8853
2386426426,2.3864,-17.2351,-28.7698,-43.4842,-54.9781
2390420420,2.3904,-17.2822,-28.8298,-43.5642,-55.0707
2394414414,2.3944,-17.3292,-28.8898,-43.6440,-55.1631
2398408408,2.3984,-17.3761,-28.9497,-43.7237,-55.2554
2402402402,2.4024,-17.4229,-29.0094,-43.8031,-55.3475
2406396396,2.4064,-17.4696,-29.0691,-43.8825,-55.4394
2410390390,2.4104,-17.5163,-29.1286,-43.9616,-55.5311
2414384384,2.4144,-17.5628,-29.1880,-44.0406,-55.6226
2418378378,2.4184,-17.6093,-29.2474,-44.1195,-55.7140
2422372372,2.4224,-17.6557,-29.3066,-44.1982,-55.8052
2426366366,2.4264,-17.7020,-29.3657,-44.2767,-55.8963
2430360360,2.4304,-17.7482,-29.4247,-44.3551,-55.9872
2434354354,2.4344,-17.7944,-29.4836,-44.4333,-56.0779
2438348348,2.4383,-17.8404,-29.5424,-44.5114,-56.1684
2442342342,2.4423,-17.8864,-29.6011,-44.5893,-56.2588
2446336336,2.4463,-17.9323,-29.6597,-44.6671,-56.3490
2450330330,2.4503,-17.9781,-29.7182,-44.7447,-56.4390
2454324324,2.4543,-18.0239,-29.7766,-44.8222,-56.5289
2458318318,2.4583,-18.0695,-29.8349,-44.8995,-56.6186
2462312312,2.4623,-18.1151,-29.8931,-44.9766,-56.7081
2466306306,2.4663,-18.1606,-29.9512,-45.0536,-56.7975
2470300300,2.4703,-18.2060,-30.0092,-45.1305,-56.8867
2474294294,2.4743,-18.2513,-30.0671,-45.2072,-56.9757
2478288288,2.4783,-18.2966,-30.1249,-45.2838,-57.0646
2482282282,2.4823,-18.3417,-30.1826,-45.3602,-57.1533
2486276276,2.4863,-18.3868,-30.2402,-45.4365,-57.2419
2490270270,2.4903,-18.4318,-30.2977,-45.5126,-57.3303
2494264264,2.4943,-18.4768,-30.3551,-45.5886,-57.4186
2498258258,2.4983,-18.5216,-30.4124,-45.6644,-57.5066
2502252252,2.5023,-18.5664,-30.4696,-45.7401,-57.5946
2506246246,2.5062,-18.6111,-30.5267,-45.8157,-57.6823
2510240240,2.5102,-18.6557,-30.5837,-45.8911,-57.7699
2514234234,2.5142,-18.7002,-30.6406,-45.9663,-57.8574
2518228228,2.5182,-18.7447,-30.6974,-46.0414,-57.9447
2522222222,2.5222,-18.7891,-30.7542,-46.1164,-58.0318
2526216216,2.5262,-18.8334,-30.8108,-46.1913,-58.1188
2530210210,2.5302,-18.8776,-30.8673,-46.2660,-58.2057
2534204204,2.5342,-18.9218,-30.9238,-46.3405,-58.2923
2538198198,2.5382,-18.9659,-30.9801,-46.4149,-58.3789
2542192192,2.5422,-19.0099,-31.0363,-46.4892,-58.4652
2546186186,2.5462,-19.0538,-31.0925,-46.5634,-58.5515
2550180180,2.5502,-19.0976,-31.1486,-46.6374,-58.6375
2554174174,2.5542,-19.1414,-31.2045,-46.7112,-58.7234
2558168168,2.5582,-19.1851,-31.2604,-46.7850,-58.8092
2562162162,2.5622,-19.2287,-31.3162,-46.8586,-58.8948
2566156156,2.5662,-19.2723,-31.3719,-46.9320,-58.9803
2570150150,2.5702,-19.3157,-31.4274,-47.0054,-59.0656
2574144144,2.5741,-19.3591,-31.4829,-47.0786,-59.1508
2578138138,2.5781,-19.4025,-31.5384,-47.1516,-59.2358
2582132132,2.5821,-19.4457,-31.5937,-47.2245,-59.3207
2586126126,2.5861,-19.4889,-31.6489,-47.2973,-59.4054
2590120120,2.5901,-19.5320,-31.7040,-47.3700,-59.4900
2594114114,2.5941,-19.5750,-31.7591,-47.4425,-59.5745
2598108108,2.5981,-19.6180,-31.8141,-47.5149,-59.6588
2602102102,2.6021,-19.6609,-31.8689,-47.5872,-59.7429
2606096096,2.6061,-19.7037,-31.9237,-47.6593,-59.8269
2610090090,2.6101,-19.7464,-31.9784,-47.7313,-59.9108
2614084084,2.6141,-19.7891,-32.0330,-47.8032,-59.9945
2618078078,2.6181,-19.8317,-32.0875,-47.8750,-60.0781
2622072072,2.6221,-19.8742,-32.1419,-47.9466,-60.1616
2626066066,2.6261,-19.9167,-32.1963,-48.0181,-60.2449
2630060060,2.6301,-19.9591,-32.2505,-48.0895,-60.3280
2634054054,2.6341,-20.0014,-32.3047,-48.1607,-60.4110
2638048048,2.6380,-20.0436,-32.3588,-48.2318,-60.4939
2642042042,2.6420,-20.0858,-32.4128,-48.3028,-60.5766
2646036036,2.6460,-20.1279,-32.4667,-48.3737,-60.6592
2650030030,2.6500,-20.1699,-32.5205,-48.4444,-60.7417
2654024024,2.6540,-20.2119,-32.5742,-48.5150,-60.8240
2658018018,2.6580,-20.2538,-32.6279,-48.5855,-60.9062
2662012012,2.6620,-20.2956,-32.6814,-48.6559,-60.9883
2666006006,2.6660,-20.3373,-32.7349,-48.7262,-61.0702
2670000000,2.6700,-20.3790,-32.7883,-48.7963,-61.1520
2673993994,2.6740,-20.4206,-32.8416,-48.8663,-61.2336
2677987988,2.6780,-20.4622,-32.8948,-48.9362,-61.3151
2681981982,2.6820,-20.5037,-32.9479,-49.0059,-61.3965
2685975976,2.6860,-20.5451,-33.0010,-49.0756,-61.4777
2689969970,2.6900,-20.5864,-33.0540,-49.1451,-61.5588
2693963964,2.6940,-20.6277,-33.1069,-49.2145,-61.6398
2697957958,2.6980,-20.6689,-33.1597,-49.2838,-61.7207
2701951952,2.7020,-20.7100,-33.2124,-49.3529,-61.8014
2705945946,2.7059,-20.7511,-33.2650,-49.4220,-61.8820
2709939940,2.7099,-20.7921,-33.3176,-49.4909,-61.9624
2713933934,2.7139,-20.8331,-33.3701,-49.5597,-62.0427
2717927928,2.7179,-20.8739,-33.4225,-49.6284,-62.1229
2721921922,2.7219,-20.9147,-33.4748,-49.6970,-62.2030
2725915916,2.7259,-20.9555,-33.5270,-49.7654,-62.2829
2729909910,2.7299,-20.9962,-33.5792,-49.8338,-62.3627
2733903904,2.7339,-21.0368,-33.6312,-49.9020,-62.4424
2737897898,2.7379,-21.0773,-33.6832,-49.9701,-62.5219
2741891892,2.7419,-21.1178,-33.7351,-50.0381,-62.6013
2745885886,2.7459,-21.1582,-33.7870,-50.1060,-62.6806
2749879880,2.7499,-21.1985,-33.8387,-50.1738,-62.7598
2753873874,2.7539,-21.2388,-33.8904,-50.2414,-62.8388
2757867868,2.7579,-21.2791,-33.9420,-50.3090,-62.9177
2761861862,2.7619,-21.3192,-33.9935,-50.3764,-62.9965
2765855856,2.7659,-21.3593,-34.0449,-50.4437,-63.0752
2769849850,2.7698,-21.3993,-34.0963,-50.5109,-63.1537
2773843844,2.7738,-21.4393,-34.1476,-50.5780,-63.2321
2777837838,2.7778,-21.4792,-34.1988,-50.6450,-63.3104
2781831832,2.7818,-21.5190,-34.2499,-50.7119,-63.3886
2785825826,2.7858,-21.5588,-34.3010,-50.7787,-63.4666
2789819820,2.7898,-21.5985,-34.3519,-50.8453,-63.5445
2793813814,2.7938,-21.6382,-34.4028,-50.9119,-63.6223
2797807808,2.7978,-21.6778,-34.4536,-50.9783,-63.7000
2801801802,2.8018,-21.7173,-34.5044,-51.0446,-63.7776
2805795796,2.8058,-21.7567,-34.5551,-51.1108,-63.8550
2809789790,2.8098,-21.7961,-34.6056,-51.1769,-63.9323
2813783784,2.8138,-21.8355,-34.6562,-51.2429,-64.0095
2817777778,2.8178,-21.8748,-34.7066,-51.3088,-64.0866
2821771772,2.8218,-21.9140,-34.7570,-51.3746,-64.1635
2825765766,2.8258,-21.9531,-34.8072,-51.4403,-64.2403
2829759760,2.8298,-21.9922,-34.8575,-51.5059,-64.3171
2833753754,2.8338,-22.0313,-34.9076,-51.5714,-64.3937
2837747748,2.8377,-22.0702,-34.9577,-51.6367,-64.4701
2841741742,2.8417,-22.1091,-35.0077,-51.7020,-64.5465
2845735736,2.8457,-22.1480,-35.0576,-51.7672,-64.6228
2849729730,2.8497,-22.1868,-35.1074,-51.8322,-64.6989
2853723724,2.8537,-22.2255,-35.1572,-51.8972,-64.7749
2857717718,2.8577,-22.2642,-35.2069,-51.9620,-64.8508
2861711712,2.8617,-22.3028,-35.2565,-52.0267,-64.9266
2865705706,2.8657,-22.3414,-35.3061,-52.0914,-65.0022
2869699700,2.8697,-22.3799,-35.3556,-52.1559,-65.0778
2873693694,2.8737,-22.4183,-35.4050,-52.2204,-65.1532
2877687688,2.8777,-22.4567,-35.4543,-52.2847,-65.2285
2881681682,2.8817,-22.4950,-35.5036,-52.3489,-65.3038
2885675676,2.8857,-22.5332,-35.5528,-52.4131,-65.3788
2889669670,2.8897,-22.5714,-35.6019,-52.4771,-65.4538
2893663664,2.8937,-22.6096,-35.6509,-52.5410,-65.5287
2897657658,2.8977,-22.6477,-35.6999,-52.6048,-65.6035
2901651652,2.9017,-22.6857,-35.7488,-52.6686,-65.6781
2905645646,2.9056,-22.7237,-35.7977,-52.7322,-65.7526
2909639640,2.9096,-22.7616,-35.8464,-52.7957,-65.8271
2913633634,2.9136,-22.7994,-35.8951,-52.8592,-65.9014
2917627628,2.9176,-22.8372,-35.9438,-52.9225,-65.9756
2921621622,2.9216,-22.8750,-35.9923,-52.9857,-66.0497
2925615616,2.9256,-22.9127,-36.0408,-53.0489,-66.1236
2929609610,2.9296,-22.9503,-36.0892,-53.1119,-66.1975
2933603604,2.9336,-22.9879,-36.1376,-53.1749,-66.2713
2937597598,2.9376,-23.0254,-36.1859,-53.2377,-66.3449
2941591592,2.9416,-23.0629,-36.2341,-53.3004,-66.4185
2945585586,2.9456,-23.1003,-36.2822,-53.3631,-66.4919
2949579580,2.9496,-23.1376,-36.3303,-53.4257,-66.5653
2953573574,2.9536,-23.1749,-36.3783,-53.4881,-66.6385
2957567568,2.9576,-23.2121,-36.4262,-53.5505,-66.7116
2961561562,2.9616,-23.2493,-36.4741,-53.6128,-66.7846
2965555556,2.9656,-23.2865,-36.5219,-53.6749,-66.8575
2969549550,2.9695,-23.3235,-36.5696,-53.7370,-66.9303
2973543544,2.9735,-23.3605,-36.6173,-53.7990,-67.0030
2977537538,2.9775,-23.3975,-36.6649,-53.8609,-67.0756
2981531532,2.9815,-23.4344,-36.7125,-53.9227,-67.1480
2985525526,2.9855,-23.4713,-36.7599,-53.9844,-67.2204
2989519520,2.9895,-23.5081,-36.8073,-54.0460,-67.2927
2993513514,2.9935,-23.5448,-36.8547,-54.1075,-67.3649
2997507508,2.9975,-23.5815,-36.9019,-54.1690,-67.4369
3001501502,3.0015,-23.6182,-36.9492,-54.2303,-67.5089
3005495495,3.0055,-23.6547,-36.9963,-54.2916,-67.5807
3009489489,3.0095,-23.6913,-37.0434,-54.3527,-67.6525
3013483483,3.0135,-23.7278,-37.0904,-54.4138,-67.7241
3017477477,3.0175,-23.7642,-37.1373,-54.4747,-67.7957
3021471471,3.0215,-23.8006,-37.1842,-54.5356,-67.8671
3025465465,3.0255,-23.8369,-37.2310,-54.5964,-67.9385
3029459459,3.0295,-23.8731,-37.2778,-54.6571,-68.0097
3033453453,3.0335,-23.9094,-37.3245,-54.7177,-68.0808
3037447447,3.0374,-23.9455,-37.3711,-54.7782,-68.1519
3041441441,3.0414,-23.9816,-37.4176,-54.8387,-68.2228
3045435435,3.0454,-24.0177,-37.4641,-54.8990,-68.2937
3049429429,3.0494,-24.0537,-37.5106,-54.9593,-68.3644
3053423423,3.0534,-24.0897,-37.5569,-55.0194,-68.4350
3057417417,3.0574,-24.1256,-37.6032,-55.0795,-68.5056
3061411411,3.0614,-24.1614,-37.6495,-55.1395,-68.5760
3065405405,3.0654,-24.1972,-37.6957,-55.1994,-68.6464
3069399399,3.0694,-24.2330,-37.7418,-55.2592,-68.7166
3073393393,3.0734,-24.2687,-37.7878,-55.3190,-68.7867
3077387387,3.0774,-24.3043,-37.8338,-55.3786,-68.8568
3081381381,3.0814,-24.3399,-37.8798,-55.4382,-68.9267
3085375375,3.0854,-24.3755,-37.9256,-55.4976,-68.9966
3089369369,3.0894,-24.4110,-37.9714,-55.5570,-69.0663
3093363363,3.0934,-24.4464,-38.0172,-55.6163,-69.1360
3097357357,3.0974,-24.4818,-38.0629,-55.6755,-69.2056
3101351351,3.1014,-24.5172,-38.1085,-55.7347,-69.2750
3105345345,3.1053,-24.5525,-38.1540,-55.7937,-69.3444
3109339339,3.1093,-24.5877,-38.1995,-55.8527,-69.4137
3113333333,3.1133,-24.6229,-38.2450,-55.9115,-69.4828
3117327327,3.1173,-24.6581,-38.2904,-55.9703,-69.5519
3121321321,3.1213,-24.6932,-38.3357,-56.0290,-69.6209
3125315315,3.1253,-24.7282,-38.3809,-56.0876,-69.6898
3129309309,3.1293,-24.7632,-38.4261,-56.1462,-69.7586
3133303303,3.1333,-24.7982,-38.4713,-56.2046,-69.8273
3137297297,3.1373,-24.8331,-38.5163,-56.2630,-69.8959
3141291291,3.1413,-24.8680,-38.5614,-56.3213,-69.9644
3145285285,3.1453,-24.9028,-38.6063,-56.3795,-70.0329
3149279279,3.1493,-24.9375,-38.6512,-56.4376,-70.1012
3153273273,3.1533,-24.9722,-38.6961,-56.4957,-70.1694
3157267267,3.1573,-25.0069,-38.7408,-56.5536,-70.2376
3161261261,3.1613,-25.0415,-38.7856,-56.6115,-70.3056
3165255255,3.1653,-25.0761,-38.8302,-56.6693,-70.3736
3169249249,3.1692,-25.1106,-38.8748,-56.7270,-70.4415
3173243243,3.1732,-25.1451,-38.9194,-56.7847,-70.5092
3177237237,3.1772,-25.1795,-38.9639,-56.8422,-70.5769
3181231231,3.1812,-25.2139,-39.0083,-56.8997,-70.6445
3185225225,3.1852,-25.2482,-39.0527,-56.9571,-70.7120
3189219219,3.1892,-25.2825,-39.0970,-57.0144,-70.7794
3193213213,3.1932,-25.3168,-39.1412,-57.0717,-70.8468
3197207207,3.1972,-25.3510,-39.1854,-57.1288,-70.9140
3201201201,3.2012,-25.3851,-39.2296,-57.1859,-70.9811
3205195195,3.2052,-25.4192,-39.2737,-57.2429,-71.0482
3209189189,3.2092,-25.4533,-39.3177,-57.2998,-71.1152
3213183183,3.2132,-25.4873,-39.3617,-57.3567,-71.1820
3217177177,3.2172,-25.5212,-39.4056,-57.4134,-71.2488
3221171171,3.2212,-25.5551,-39.4494,-57.4701,-71.3155
3225165165,3.2252,-25.5890,-39.4932,-57.5267,-71.3821
3229159159,3.2292,-25.6228,-39.5370,-57.5833,-71.4487
3233153153,3.2332,-25.6566,-39.5807,-57.6397,-71.5151
3237147147,3.2371,-25.6904,-39.6243,-57.6961,-71.5814
3241141141,3.2411,-25.7240,-39.6679,-57.7524,-71.6477
3245135135,3.2451,-25.7577,-39.7114,-57.8086,-71.7139
3249129129,3.2491,-25.7913,-39.7549,-57.8648,-71.7800
3253123123,3.2531,-25.8248,-39.7983,-57.9208,-71.8460
3257117117,3.2571,-25.8583,-39.8416,-57.9768,-71.9119
3261111111,3.2611,-25.8918,-39.8849,-58.0327,-71.9777
3265105105,3.2651,-25.9252,-39.9282,-58.0886,-72.0434
3269099099,3.2691,-25.9586,-39.9714,-58.1444,-72.1091
3273093093,3.2731,-25.9919,-40.0145,-58.2000,-72.1747
3277087087,3.2771,-26.0252,-40.0576,-58.2557,-72.2402
